pkid,method,layers,depth,num_params,latency_all
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,384,90,53084.44444444459
0,HeaSolver,5,384,90,53084.44444444459
0,HeaSolver,5,352,90,51594.6666666668
0,HeaSolver,5,386,90,56647.11111111128
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,406,90,58076.44444444462
0,HeaSolver,5,337,90,48142.222222222335
0,HeaSolver,5,372,90,55751.11111111127
0,HeaSolver,5,386,90,57240.88888888906
0,HeaSolver,5,361,90,53496.888888889036
0,HeaSolver,5,352,90,51594.6666666668
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,362,90,52782.222222222365
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,361,90,53496.888888889036
0,HeaSolver,5,384,90,53084.44444444459
0,HeaSolver,5,374,90,55811.555555555715
0,HeaSolver,5,384,90,53084.44444444459
0,HeaSolver,5,361,90,53496.888888889036
0,HeaSolver,5,406,90,58076.44444444462
0,HeaSolver,5,389,90,53799.11111111126
0,HeaSolver,5,361,90,53496.888888889036
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,337,90,48142.222222222335
0,HeaSolver,5,358,90,53255.111111111255
0,HeaSolver,5,360,90,52721.77777777791
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,361,90,53496.888888889036
0,HeaSolver,5,388,90,56113.777777777934
0,HeaSolver,5,386,90,57240.88888888906
0,HeaSolver,5,384,90,56586.66666666683
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,358,90,52600.88888888903
0,HeaSolver,5,337,90,48142.222222222335
0,HeaSolver,5,389,90,53799.11111111126
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,377,90,55278.22222222238
0,HeaSolver,5,337,90,48142.222222222335
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,384,90,53084.44444444459
0,HeaSolver,5,389,90,53799.11111111126
0,HeaSolver,5,413,90,57724.44444444462
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,384,90,53084.44444444459
0,HeaSolver,5,389,90,53799.11111111126
0,HeaSolver,5,361,90,53496.888888889036
0,HeaSolver,5,384,90,53084.44444444459
0,HeaSolver,5,389,90,56707.55555555572
0,HeaSolver,5,413,90,57724.44444444462
0,HeaSolver,5,353,90,52188.44444444458
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,353,90,52188.44444444458
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,413,90,57724.44444444462
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,392,90,56828.444444444605
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,340,90,50165.33333333346
0,HeaSolver,5,389,90,53799.11111111126
